registration_number,citation_count,application_number,title,source,status,error,fetched_at
10-1270374,1,10-2011-0111243,무선기기 측위 방법 및 시스템,kipris_citing_service,ok,,2026-06-11T17:39:17
10-1261894,0,10-2011-0072477,ＣＢＡＣ 시스템 및 방법,kipris_citing_service,ok,,2026-06-11T17:39:18
10-1261156,1,10-2011-0072473,비밀키 생성방법 및 이를 적용한 전자장치,kipris_citing_service,ok,,2026-06-11T17:39:18
10-1189967,0,10-2011-0064515,시스템 자동감사방법 및 이를 적용한 자동 감사 시스템,kipris_citing_service,ok,,2026-06-11T17:39:18
10-1165267,10,10-2010-0120712,열차 제어 데이터 무선 통신 시스템,kipris_citing_service,ok,,2026-06-11T17:39:18
10-1160657,5,10-2011-0103232,유조차 관리 시스템,kipris_citing_service,ok,,2026-06-11T17:39:18
10-1120037,2,10-2010-0019417,차량 네비게이션에서의 심볼 정보 표시 방법 및 그 장치,kipris_citing_service,ok,,2026-06-11T17:39:19
10-1098864,1,10-2009-0112759,차량 네비게이션의 혼잡 도로 안내 방법 및 그 장치,kipris_citing_service,ok,,2026-06-11T17:39:19
10-1089152,3,10-2010-0020464,차량 네비게이션에서의 주유소 정보 제공 방법 및 그 장치,kipris_citing_service,ok,,2026-06-11T17:39:19
10-1083298,4,10-2009-0105795,휴대 단말 기반의 위치정보 서비스 방법 및 그 휴대 단말,kipris_citing_service,ok,,2026-06-11T17:39:19
101275849,0,200710126376.7,导航系统中的交叉路口引导方法,kipris_citing_service,ok,,2026-06-11T17:39:20
101275848,0,200710112054.7,具有相框功能的导航装置及其操作方法,kipris_citing_service,ok,,2026-06-11T17:39:20
10-0989692,4,10-2008-0097491,멀티 파티션을 지원하는 유에스비 저장 장치의 파티션 뷰우제어 방법,kipris_citing_service,ok,,2026-06-11T17:39:20
10-0973418,3,10-2008-0095046,엔에프씨 등시성 데이터 전송을 이용한 엔에프씨 오디오 재생 시스템,kipris_citing_service,ok,,2026-06-11T17:39:20
10-0935304,12,10-2009-0088551,프로젝트 진척관리 시스템 및 그 방법,kipris_citing_service,ok,,2026-06-11T17:39:21
10-0930208,3,10-2009-0088550,프로젝트 생산성 관리 시스템 및 그 방법,kipris_citing_service,ok,,2026-06-11T17:39:21
"7,602,315",0,"11/812,408",NAVIGATION APPARATUS HAVING A PICTURE FRAME FUNCTION AND METHOD FOR OPERATING THE SAME,kipris_citing_service,ok,,2026-06-11T17:39:21
10-0876003,77,10-2007-0015189,생체정보를 이용하는 사용자 인증방법,kipris_citing_service,ok,,2026-06-11T17:39:22
10-0873646,7,10-2006-0102445,3차원 아바타를 이용하는 엔터테인먼트 장치 및 그 사용방법,kipris_citing_service,ok,,2026-06-11T17:39:22
10-0869309,0,10-2007-0080203,이미지 컨텐츠를 활용한 영상 통화 서비스 제공 방법,kipris_citing_service,ok,,2026-06-11T17:39:22
